num_vertices,density,random_seed,c_optimal,neurosa_res,iter2solution,t2solution
10,0.01,0,-10,-10.0,1880,21.230155
10,0.01,1,-10,-10.0,192,2.32498
10,0.01,2,-10,-10.0,2,0.04682
10,0.01,3,-10,-10.0,1052,11.834746
10,0.01,4,-10,-10.0,1668,19.263863
10,0.05,0,-8,-8.0,88,1.036755
10,0.05,1,-8,-8.0,154,1.795718
10,0.05,2,-9,-9.0,1561,17.699165
10,0.05,3,-8,-8.0,388,4.453891
10,0.05,4,-8,-8.0,50,0.595122
10,0.1,0,-7,-7.0,1155,13.042242
10,0.1,1,-7,-7.0,3,0.056753
10,0.1,2,-7,-7.0,1149,13.02886
10,0.1,3,-8,-8.0,1236,14.16023
10,0.1,4,-7,-7.0,993,11.279535
10,0.25,0,-6,-6.0,1298,14.779699
10,0.25,1,-6,-6.0,2806,32.888965
10,0.25,2,-5,-5.0,79,1.005509
10,0.25,3,-6,-6.0,968,11.0466
10,0.25,4,-5,-5.0,275,3.254396
25,0.01,0,-22,-22.0,2370511,25334.455275
25,0.01,1,-22,-22.0,40617,448.517526
25,0.01,2,-23,-23.0,2558123,27426.01855
25,0.01,3,-22,-22.0,1896581,20661.66518
25,0.01,4,-22,-22.0,1689854,18438.139819
25,0.05,0,-15,-15.0,256152,2855.290946
25,0.05,1,-18,-18.0,2239800,23476.567396
25,0.05,2,-17,-17.0,1709020,18220.505286
25,0.05,3,-17,-17.0,700298,7655.371072
25,0.05,4,-17,-17.0,299223,3325.630478
25,0.1,0,-12,-12.0,342910,3750.667589
25,0.1,1,-15,-15.0,2413058,24239.105435
25,0.1,2,-14,-14.0,1153292,12180.349132
25,0.1,3,-13,-13.0,451440,4954.595709
25,0.1,4,-13,-13.0,428411,4680.529505
25,0.25,0,-9,-9.0,1023448,10267.226153
25,0.25,1,-9,-9.0,520107,5450.914385
25,0.25,2,-8,-8.0,92403,1018.760821
25,0.25,3,-10,-10.0,506446,5297.828847
25,0.25,4,-8,-8.0,209295,2272.092982
50,0.01,0,-40,-40.0,12445730,115868.029714
50,0.01,1,-42,-42.0,10107074,97466.49657
50,0.01,2,-41,-41.0,12174720,113253.179827
50,0.01,3,-43,-43.0,15394558,140043.922906
50,0.01,4,-40,-40.0,10409473,99132.933446
50,0.05,0,-28,-28.0,13038368,107419.950285
50,0.05,1,-27,-27.0,5930687,54175.545681
50,0.05,2,-27,-27.0,6242147,56680.111095
50,0.05,3,-27,-27.0,8385893,72757.384132
50,0.05,4,-26,-26.0,4042550,38689.041735
50,0.1,0,-20,-20.0,7887127,63173.351378
50,0.1,1,-21,-21.0,7588987,61157.519648
50,0.1,2,-19,-19.0,3243127,29106.614803
50,0.1,3,-21,-21.0,5851953,49320.689249
50,0.1,4,-22,-22.0,8344427,66663.606104
50,0.25,0,-12,-12.0,3059248,24560.19518
50,0.25,1,-13,-13.0,3647764,28636.982121
50,0.25,2,-12,-12.0,3209729,25385.538032
50,0.25,3,-12,-12.0,3333443,26514.515257
50,0.25,4,-13,-13.0,4008955,31150.819561
100,0.01,0,-73,-73.0,27071089,213384.356147
100,0.01,1,-71,-71.0,23916013,194578.875443
100,0.01,2,-74,-74.0,31197877,236089.462634
100,0.01,3,-73,-73.0,28005852,217775.889311
100,0.01,4,-71,-71.0,27722411,213557.384818
100,0.05,0,-44,-44.0,27593630,184253.369086
100,0.05,1,-42,-42.0,22647387,152728.279159
100,0.05,2,-45,-45.0,28490076,188902.717235
100,0.05,3,-45,-45.0,18636644,132610.747299
100,0.05,4,-42,-42.0,30756023,199041.407656
100,0.1,0,-30,-30.0,16972597,111330.938439
100,0.1,1,-29,-29.0,20025720,126548.616661
100,0.1,2,-30,-30.0,21069774,132629.451026
100,0.1,3,-31,-31.0,27789732,171201.664553
100,0.1,4,-30,-30.0,14759955,99099.417874
100,0.25,0,-17,-17.0,12604884,75988.670175
100,0.25,1,-17,-17.0,9436976,58166.559919
100,0.25,2,-16,-16.0,8161554,51830.006363
100,0.25,3,-16,-16.0,7230652,46264.264896
100,0.25,4,-18,-18.0,15561601,90935.388137
250,0.01,0,-142,-142.0,49673174,316276.53097
250,0.01,1,-140,-140.0,51487394,327729.411475
250,0.01,2,-137,-137.0,47492359,304096.728
250,0.01,3,-138,-138.0,52159114,329253.74745
250,0.01,4,-143,-143.0,50355794,321525.407577
250,0.05,0,-67,-67.0,40611848,230607.789514
250,0.05,1,-69,-69.0,36332663,207206.22857
250,0.05,2,-67,-67.0,47821967,265271.158812
250,0.05,3,-67,-67.0,35713513,203353.354422
250,0.05,4,-67,-67.0,39571563,223311.547306
250,0.1,0,-43,-43.0,32339185,173660.552102
250,0.1,1,-44,-44.0,37704060,202383.415256
250,0.1,2,-44,-44.0,30382335,166045.473575
250,0.1,3,-43,-43.0,34898638,188459.908128
250,0.1,4,-45,-45.0,34347177,185825.118949
250,0.25,0,-22,-22.0,32039742,162774.171033
250,0.25,1,-23,-23.0,30757200,156859.151839
250,0.25,2,-23,-23.0,22978156,120536.118459
250,0.25,3,-22,-22.0,23851270,125024.81399
250,0.25,4,-22,-22.0,19103363,100890.818085
500,0.01,0,-219,-219.0,60385480,367548.212686
500,0.01,1,-219,-219.0,64395913,390461.53047
500,0.01,2,-214,-214.0,65658273,393602.205421
500,0.01,3,-219,-219.0,77295059,454701.789179
500,0.01,4,-214,-214.0,61772747,373121.191135
500,0.05,0,-85,-85.0,44718053,247094.439281
500,0.05,1,-86,-86.0,40685459,224749.193539
500,0.05,2,-86,-86.0,42020350,234266.189724
500,0.05,3,-86,-86.0,39193732,218578.891435
500,0.05,4,-86,-86.0,41504007,231411.938288
500,0.1,0,-52,-52.0,37989109,202371.974206
500,0.1,1,-52,-52.0,35815016,192719.905206
500,0.1,2,-51,-51.0,34302528,184819.049576
500,0.1,3,-52,-52.0,38406922,204819.824577
500,0.1,4,-53,-53.0,45148416,238659.357021
500,0.25,0,-26,-26.0,48407272,243834.173652
500,0.25,1,-25,-25.0,42030539,214447.865705
500,0.25,2,-25,-25.0,35608115,183144.739582
500,0.25,3,-26,-26.0,38515630,195649.449503
500,0.25,4,-25,-25.0,25342932,131046.757006
1000,0.01,0,-307,-307.0,67427455,392331.765943
1000,0.01,1,-308,-308.0,79474467,452135.990215
1000,0.01,2,-308,-308.0,67308369,387986.901241
1000,0.01,3,-305,-305.0,76425165,427818.28598
1000,0.01,4,-303,-303.0,72595794,414977.071877
1000,0.05,0,-106,-106.0,46324844,244483.670397
1000,0.05,1,-106,-106.0,54595106,290266.632143
1000,0.05,2,-110,-110.0,74478898,387118.41302
1000,0.05,3,-104,-104.0,48150881,259799.121337
1000,0.05,4,-107,-107.0,54278301,286564.363873
1000,0.1,0,-61,-61.0,46953726,241352.335859
1000,0.1,1,-61,-61.0,50986756,261655.587316
1000,0.1,2,-61,-61.0,49917141,256932.467555
1000,0.1,3,-62,-62.0,51005968,260522.721724
1000,0.1,4,-60,-60.0,43766772,224585.234245
1000,0.25,0,-29,-28.0,100000000,488970.087782
1000,0.25,1,-29,-28.0,100000000,488544.083957
1000,0.25,2,-29,-29.0,63917269,317492.957271
1000,0.25,3,-29,-28.0,100000000,489052.835191
1000,0.25,4,-29,-29.0,67339449,330929.130957
2500,0.01,0,-440,-440.0,68913598,373756.830331
2500,0.01,1,-441,-441.0,76707168,415765.731006
2500,0.01,2,-441,-441.0,80348483,430599.944852
2500,0.01,3,-433,-433.0,77250898,415864.881181
2500,0.01,4,-434,-434.0,62619570,343572.447309
2500,0.05,0,-126,-126.0,60603966,309402.589837
2500,0.05,1,-126,-126.0,60871216,308978.813641
2500,0.05,2,-125,-125.0,56801378,290711.512228
2500,0.05,3,-126,-126.0,56089399,285561.14599
2500,0.05,4,-125,-125.0,51240445,264185.036018
2500,0.1,0,-70,-70.0,57086089,286736.815582
2500,0.1,1,-70,-70.0,46889351,237170.023351
2500,0.1,2,-71,-71.0,58801901,297798.804674
2500,0.1,3,-70,-70.0,65716444,330201.536584
2500,0.1,4,-71,-71.0,93544102,460412.310772
2500,0.25,0,-32,-32.0,79488554,389568.296939
2500,0.25,1,-33,-32.0,100000000,485293.036599
2500,0.25,2,-32,-32.0,85053354,416878.291987
2500,0.25,3,-32,-32.0,90771306,443472.363911
2500,0.25,4,-33,-32.0,100000000,489894.854227
5000,0.01,0,-532,-532.0,69512376,364298.284141
5000,0.01,1,-529,-529.0,74992764,398499.866733
5000,0.01,2,-526,-526.0,67767150,356781.896109
5000,0.01,3,-533,-533.0,80276230,421007.234526
5000,0.01,4,-532,-532.0,74555786,393416.199206
5000,0.05,0,-143,-143.0,76552641,383466.92088
5000,0.05,1,-141,-141.0,70123802,352785.153352
5000,0.05,2,-139,-139.0,49252527,250574.700091
5000,0.05,3,-139,-139.0,53677673,270985.177108
5000,0.05,4,-140,-140.0,57066358,288981.205182
5000,0.1,0,-77,-77.0,58734766,291682.167522
5000,0.1,1,-77,-77.0,60948106,303719.201997
